name,bg_img_link,mark,category,rating,price,address,role,city,int_price
Carretera Banquet Hall,https://cdn.venuelook.com/uploads/space_39194/1717077205_204x158.png,"Baner Road, Pune",banquet-halls,3.0,Rs. 600 price per plat,"Carretera Banquet Hall is a popular wedding and event venue located in Pune, Maharashtra, India. It offers modern facilities and elegant event spaces suitable for weddings, receptions, corporate events, and other special occasions. Carretera Banquet Hall is situated [provide the address if available] in Pune, making it easily accessible for guests. The banquet hall is designed to accommodate various types of events, with spacious interiors that can be customized to suit the theme and size of the occasion. It typically includes a well-decorated banquet hall, ample seating arrangements, audiovisual equipment, and catering services. Carretera Banquet Hall usually offers comprehensive event planning and management services, ensuring a seamless experience for hosts and guests alike. This may include assistance with decoration, catering, entertainment, and other aspects of event coordination. Depending on the specific package or arrangement, amenities at Carretera Banquet Hall may include parking facilities, valet service, bridal room, and in-house catering services offering a variety of cuisines. The venue typically has the flexibility to accommodate both small and large gatherings, with options for intimate ceremonies as well as grand celebrations. The ambiance of Carretera Banquet Hall is often described as elegant and sophisticated, with tasteful decor and lighting arrangements that create a memorable atmosphere for weddings and events. Carretera Banquet Hall is a contemporary event venue nestled in the heart of Pune, Maharashtra, known for its exquisite charm and modern amenities. The hall boasts a sleek and sophisticated design, blending seamlessly with its surroundings while offering a luxurious ambiance for weddings, receptions, corporate events, and various special occasions. As guests step into Carretera Banquet Hall, they are greeted by an atmosphere of elegance and refinement. The interiors are tastefully adorned with stylish decor elements, creating a captivating backdrop for any event. The spacious layout of the hall provides flexibility in seating arrangements, accommodating both intimate gatherings and large-scale celebrations with ease. The ambiance at Carretera Banquet Hall exudes sophistication and charm, making it a preferred choice for those seeking a memorable and distinctive venue for their special day. Whether it's a romantic wedding ceremony, a grand reception, or a corporate gala, Carretera Banquet Hall sets the stage for unforgettable moments and cherished memories. Equipped with state-of-the-art facilities, Carretera Banquet Hall ensures a seamless event experience for hosts and guests alike. From advanced audiovisual equipment to impeccable catering services, every detail is meticulously curated to meet the highest standards of quality and excellence.",Banquet Hall,pune,600
Somani Banquets,https://cdn.venuelook.com/uploads/space_39149/1716901534_204x158.png,"Ravet, Pune",banquet-halls,3.0,Rs. 650 price per plat,"Somani Banquets is a well-known wedding venue in Pune, located in the heart of the city. Somani Banquets is situated in the prime area of Pune, making it easily accessible for guests coming from different parts of the city. The venue offers spacious banquet halls that can accommodate both intimate gatherings and large wedding celebrations. The halls are elegantly decorated and equipped with modern amenities to ensure a comfortable and memorable experience for guests. Somani Banquets provides a range of services to help couples plan their dream wedding, including event planning assistance, catering services, decor arrangements, and audiovisual equipment support. Couples can customize the decor, lighting, and menu according to their preferences, allowing them to create a personalized and unique wedding experience. Somani Banquets is a popular choice for couples planning their wedding in Pune, offering a combination of convenient location, elegant facilities, and customizable services to ensure a memorable celebration. Somani Banquets is a prestigious wedding venue nestled in the heart of Pune, Maharashtra. It stands out for its elegant ambiance, exceptional service, and versatile event spaces, making it a preferred choice for couples seeking the perfect setting for their special day. Upon arrival, guests are greeted by a well-appointed facade, hinting at the sophistication and grandeur that awaits within. The interiors exude an air of refinement, with tasteful decor and modern amenities seamlessly blending to create a luxurious atmosphere. The venue boasts spacious banquet halls that can accommodate weddings of various sizes, from intimate gatherings to grand celebrations. Each hall is meticulously designed to offer both comfort and style, with ample space for dining, dancing, and socializing. Somani Banquets prides itself on its attention to detail and personalized service. From event planning assistance to catering services and decor arrangements, the dedicated team ensures that every aspect of the wedding is meticulously planned and executed to perfection. Couples have the freedom to customize their wedding according to their unique preferences and vision. Whether it's the decor, lighting, or menu selection, the venue offers flexibility to create a truly personalized and unforgettable experience for the bride, groom, and their guests.Â",Hall 2,pune,650
House Of Garden,https://cdn.venuelook.com/uploads/space_25957/1663846806_204x158.png,"Sector 82 Mohali, Chandigarh",banquet-halls,5.0,Rs. 750 price per plat,"Near Bestech Square Mall - Sector 66 Mall,
The world is a land of rich history and diverse cultures. House Of Garden reflects a perfect blend of this diversity and cultural influences.House Of Garden create delicious food with authentic flavor, offering you the best of cuisine, a cuisine that has inspired the Culinary world. House Of Garden is not just about food, it is about our family and traditions.They serve a wide variety of authentic cuisine. Cooking is an art and our chefs have mastered the art by combining traditional and modern recipes and adding their own personal touch to it. Every delicious dish that leaves our kitchen is created by one of our highly acclaimed chefs.",House Garden,chandigarh,750
Golden Tulip Chandigarh Panchkula,https://cdn.venuelook.com/uploads/space_6407/1692424363_204x158.png,"Morni Road Panchkula, Chandigarh",banquet-halls,4.6,Rs. 1850 price per plat,"Near Hi5 Mall Mall,
Imperial ballroom offers an ideal venue for hosting gala dinner, events, meetings or social functions for up to 500 guest in the hall and can accommodate 1000 guests, when clubbed with the resort's lush green, well manicured lawn.",Dome Hall,chandigarh,1850
Golden Tulip Chandigarh Panchkula,https://cdn.venuelook.com/uploads/space_6404/1692182117_204x158.png,"Morni Road Panchkula, Chandigarh",banquet-halls,4.6,Rs. 1850 price per plat,"Near Hi5 Mall Mall,
Imperial ballroom offers an ideal venue for hosting gala dinner, events, meetings or social functions for up to 350 guest in the hall and can accommodate 500 guests, when clubbed with the resort's lush green, well manicured lawn.Dome offers an ideal setting for workshop.a management seminar, marketing ortraining session for up to 175 guests. We help you execute a seamless event delivered to your exact specifications",Imperial Hall,chandigarh,1850
Golden Tulip Chandigarh Panchkula,https://cdn.venuelook.com/uploads/space_6406/1692183863_204x158.png,"Morni Road Panchkula, Chandigarh",banquet-halls,4.6,Rs. 1850 price per plat,"Near Hi5 Mall Mall,
Golden Tulip Chandigarh is a premium resort surrounded amidst beautiful
Morni Hills. The location of the resort is so beautiful and serene that
it offers great choice to guests who are looking to host destination
weddings, birthday parties, small get together or kitty parties in the
lap of the nature but still close to the city.
The postcard perfect vista of the hills, the pretty and dramatic
panoramas will add an abundance of sophistication and glamour to the
functions.",Orient Hall,chandigarh,1850
Hyatt Centric Sector 17 Chandigarh,https://cdn.venuelook.com/uploads/space_33966/1682492943_204x158.png,"Sector 17 Chandigarh, Chandigarh",banquet-halls,5.0,Rs. 3500 price per plat,"Near Elante Mall Patio - Industrial Area Phase I Mall,
Hyatt Centric Sector 17 Chandigarh, Chandigarh is a marvelous hotel that is a premier business travel destination point. With world-class hospitality, they greet their staff graciously and provide its customers with all the modern amenities. Immerse yourself in the contemporary elegance and style and celebrate your nuptial ceremonies and wedding day. Offering its guests with delicious and sumptuous dishes this is an ideal place for taking vows. Hyatt Centric Sector 17 Chandigarh, Chandigarh is a name that is well known an accounted for in the hospitality business.",Centric Studio,chandigarh,3500
Hyatt Centric Sector 17 Chandigarh,https://cdn.venuelook.com/uploads/space_33965/1672727558_204x158.png,"Sector 17 Chandigarh, Chandigarh",banquet-halls,5.0,Rs. 3500 price per plat,"Near Elante Mall Patio - Industrial Area Phase I Mall,
Hyatt Centric Sector 17 Chandigarh, Chandigarh is a marvelous hotel that is a premier business travel destination point. With world-class hospitality, they greet their staff graciously and provide its customers with all the modern amenities. Immerse yourself in the contemporary elegance and style and celebrate your nuptial ceremonies and wedding day. Offering its guests with delicious and sumptuous dishes this is an ideal place for taking vows. Hyatt Centric Sector 17 Chandigarh, Chandigarh is a name that is well known an accounted for in the hospitality business.",Crystal Room ll,chandigarh,3500
Hyatt Centric Sector 17 Chandigarh,https://cdn.venuelook.com/uploads/space_33968/1682492985_204x158.png,"Sector 17 Chandigarh, Chandigarh",banquet-halls,5.0,Rs. 3500 price per plat,"Near Elante Mall Patio - Industrial Area Phase I Mall,
Hyatt Centric Sector 17 Chandigarh, Chandigarh is a marvelous hotel that is a premier business travel destination point. With world-class hospitality, they greet their staff graciously and provide its customers with all the modern amenities. Immerse yourself in the contemporary elegance and style and celebrate your nuptial ceremonies and wedding day. Offering its guests with delicious and sumptuous dishes this is an ideal place for taking vows. Hyatt Centric Sector 17 Chandigarh, Chandigarh is a name that is well known an accounted for in the hospitality business.",Centric Studio ll,chandigarh,3500
Zafrani Restaurant By Tandon Hospitality,https://cdn.venuelook.com/uploads/space_36004/1683887362_204x158.png,"Zirakpur, Chandigarh",banquet-halls,4.6,Rs. 949 price per plat,"Near Chandigarh International Airport Airport,
Their party arrangements is like a grand feast or celebration, usually held in a spacious and elegant venue. Our services at a banquet are all about making guests feel pampered and well taken care of, From the moment you arrive, the staff is attentive and friendly, ensuring that every detail is perfect. TheirÂ provide impeccable service, serving delicious food and drinks, and making sure everyone has a wonderful time.Â It will be truly an unforgettable experience for you!",Banquet,chandigarh,949
Hyatt Centric Sector 17 Chandigarh,https://cdn.venuelook.com/uploads/space_33964/1672145922_204x158.png,"Sector 17 Chandigarh, Chandigarh",banquet-halls,5.0,Rs. 3500 price per plat,"Near Elante Mall Patio - Industrial Area Phase I Mall,
Hyatt Centric Sector 17 Chandigarh, Chandigarh is a marvelous hotel that is a premier business travel destination point. With world-class hospitality, they greet their staff graciously and provide its customers with all the modern amenities. Immerse yourself in the contemporary elegance and style and celebrate your nuptial ceremonies and wedding day. Offering its guests with delicious and sumptuous dishes this is an ideal place for taking vows. Hyatt Centric Sector 17 Chandigarh, Chandigarh is a name that is well known an accounted for in the hospitality business.",Crystal Room l,chandigarh,3500
Hyatt Centric Sector 17 Chandigarh,https://cdn.venuelook.com/uploads/space_33967/1682492956_204x158.png,"Sector 17 Chandigarh, Chandigarh",banquet-halls,5.0,Rs. 3500 price per plat,"Near Elante Mall Patio - Industrial Area Phase I Mall,
Hyatt Centric Sector 17 Chandigarh, Chandigarh is a marvelous hotel that is a premier business travel destination point. With world-class hospitality, they greet their staff graciously and provide its customers with all the modern amenities. Immerse yourself in the contemporary elegance and style and celebrate your nuptial ceremonies and wedding day. Offering its guests with delicious and sumptuous dishes this is an ideal place for taking vows. Hyatt Centric Sector 17 Chandigarh, Chandigarh is a name that is well known an accounted for in the hospitality business.",Centric Studio l,chandigarh,3500
Hyatt Centric Sector 17 Chandigarh,https://cdn.venuelook.com/uploads/space_33961/1672145009_204x158.png,"Sector 17 Chandigarh, Chandigarh",banquet-halls,5.0,Rs. 3500 price per plat,"Near Elante Mall Patio - Industrial Area Phase I Mall,
Hyatt Centric Sector 17 Chandigarh, Chandigarh is a marvelous hotel that is a premier business travel destination point. With world-class hospitality, they greet their staff graciously and provide its customers with all the modern amenities. Immerse yourself in the contemporary elegance and style and celebrate your nuptial ceremonies and wedding day. Offering its guests with delicious and sumptuous dishes this is an ideal place for taking vows. Hyatt Centric Sector 17 Chandigarh, Chandigarh is a name that is well known an accounted for in the hospitality business.",Crystal Room,chandigarh,3500
Hyatt Centric Sector 17 Chandigarh,https://cdn.venuelook.com/uploads/space_33972/1672726395_204x158.png,"Sector 17 Chandigarh, Chandigarh",banquet-halls,5.0,Rs. 3500 price per plat,"Near Elante Mall Patio - Industrial Area Phase I Mall,
Hyatt Centric Sector 17 Chandigarh, Chandigarh is a marvelous hotel that is a premier business travel destination point. With world-class hospitality, they greet their staff graciously and provide its customers with all the modern amenities. Immerse yourself in the contemporary elegance and style and celebrate your nuptial ceremonies and wedding day. Offering its guests with delicious and sumptuous dishes this is an ideal place for taking vows. Hyatt Centric Sector 17 Chandigarh, Chandigarh is a name that is well known an accounted for in the hospitality business.",The Living Room,chandigarh,3500
Hotel Metro 35,https://cdn.venuelook.com/uploads/space_7155/1477658557_204x158.png,"Sector 35 Chandigarh, Chandigarh",banquet-halls,4.0,Rs. 600 price per plat,"Among
restaurants in the city center, this relaxed budget hotel is 6 km from
shopping at Elane Mall and 10 km from Shiva Fossil Park. Featuring
tiled floors and dark wood furnishings, the modern rooms include free WI-Fi, flat-screen TVs and desks. Upgraded rooms add tea and coffee making facilities; suites have separate living/dining areas. Room
service is available 24/7.There's
a casual restaurant serving Italian, Mediterranean and Mexican fare, in
addition to a chic bistro/bar offering international dishes and live DJ.",NONE,chandigarh,600
Hotel Icon,https://cdn.venuelook.com/uploads/space_7159/1477725885_204x158.png,"Sector 8 Chandigarh, Chandigarh",banquet-halls,4.0,Rs. 800 price per plat,"The lounge bar, LUSHpours out the choicest alcoholic and non-alcoholic
beverages along with innovative cocktails and mock-tails. Flamed
Shooters will light up dull nights; oriental cocktails spiced with
wasabi, soy sauce and chillies will add a dash of romance; and beer
based cocktails and shots.The exotic display of mouth-watering desserts
and bakery products at the dessert bar FUDGE will give guests the
necessary nudge. Desserts, hot chocolates and coffees are a 24 hour
affair at FUDGE. The guests can pre-order or savor a treat from the
cakes, puffs, quiches and fresh bakes on display. The choicest Pan Asian
cuisines have traveled great distance to enrich the fine dining
experience at HIBACHI, Icons authentic Teppanyaki restaurant. Two live
cooking grills promise an entertaining evening with the chefs offering
mouth-watering food and plenty of food for thought with their engaging
tales.",NONE,chandigarh,800
Hotel Shagun,https://cdn.venuelook.com/uploads/space_7172/1477996320_204x158.png,"Sector 42 Chandigarh, Chandigarh",banquet-halls,3.0,Rs. 599 price per plat,"The Hotel Shagun is wel furnished with all modern amenities. But still
the hotel fits into the pocket of all visitors be it corporates,
tourists or general visitors. It is very near to new inter state bust
terminus.
Tourist get the comfort with the modern facilites at our
hotel, along with the indian and continental cuisines.",Shubhankar Hall & Lawn,chandigarh,599
Hotel President,https://cdn.venuelook.com/uploads/space_7177/1480923937_204x158.png,"Sector 26 Chandigarh, Chandigarh",banquet-halls,4.0,Rs. 750 price per plat,"Hotel President is located close to shopping and business centers of
Chandigarh. The hotel is easily accessible from the major tourist
attractions of Chandigarh. The hotel offers homely ambience, warm
hospitality and all the basic needs of a comfortable stay.",Banquet Hall,chandigarh,750
Aquamarine,https://cdn.venuelook.com/uploads/space_7192/1478097595_204x158.png,"Sector 22 Chandigarh, Chandigarh",banquet-halls,3.0,Rs. 850 price per plat,"Set right in the heart
of Chandigarh city, Aquamarine is a boutique hotel located in Sector
22. It is just 3 km away from the Inter - State Bus Terminus. Popular
attractions like ISKCON Chandigarh(3 km) Zakir Hussain Rose Garden(3
km), Government Museum and Art Gallery(4 km), Leisure Valley(5 km), The
Rock Garden of Chandigarh(5 km), Elante mall(5 km) and Sukhna Lake(6
km) are easily accessible from the property.The hotel continues to offer
quality accommodation to its guests by providing facilities like travel
desk, cab on call, medical assistance in case of emergency, and many
more. For making the social gatherings memorable, the hotel offers a
number of banquet halls with all the necessary arrangements like
florist, DJ and delicious food.The multi-cuisine restaurant at the hotel
offers delectable Punjabi, Mughlai, and Indian food along with a number
of lip-smacking Chinese and South Indian dishes. Guests can also relish
their sweet tooth with the wide array of deserts that are served here.
Apart from this, one can visit a number of restaurants and coffee shops
that are present in the hotel complex.At Aquamarine, they have elegantly
designed spacious rooms that help guests to unwind and relax. Festooned
with the facilities like television, air conditioning, in-room safe,
working desk, hair dryer, tea/coffee maker and iron/board(on request),
the rooms ensure a happy stay for the guests. Even bathrooms are
larger-than-life along with herbal toiletries and a supply of hot/cold
water. Not just that, high-speed Wi-Fi lets you stay connected with all
those who matter.Nearest connectivity to other cities is provided
through Chandigarh Domestic Airport(10 km) and Chandigarh Railway
Station(10 km).Unwind and have a relaxed stay at Aquamarine!!less",NONE,chandigarh,850
Holiday Inn Chandigarh Panchkula,https://cdn.venuelook.com/uploads/space_7198/1478238649_204x158.png,"Sector 12 Chandigarh, Chandigarh",banquet-halls,5.0,Rs. 1300 price per plat,"The venue can customize its facilities to suit the specific requirements
of its corporate clients. The main space options here are the Board
Room for corporate travellers to use , Viceroy, Mosaic, Ball Room, which
can be used for conferences, meetings.",Zodiac 1,chandigarh,1300
Komfort Banquet,https://cdn.venuelook.com/uploads/space_7232/1478690455_204x158.png,"Zirakpur, Chandigarh",banquet-halls,3.0,Rs. 1400 price per plat,"Weddings are fascinating. Every couple has a story to tell and weâd love
to hear yours. Allow us the pleasure of channeling your individual
style into a wedding reception that expresses your uniqueness as a
couple. Komfort Banquet was established in year 1st January, 2000. Mr.
Anup Bansal Proprietor conceived the concept when there was no
banqueting concept and people were in habit of doing marriages in tents
taking rush of their life memory occasionsâ¦Komfort Banquet's luxurious
multifunctional conteÂ mporary
spaces suitable for any business meeting, conference, seminar, product
launches, high profile cocktail dinners, fashion events and intimate
boardroom discussions.",NONE,chandigarh,1400
Whistling Duck,https://cdn.venuelook.com/uploads/space_7236/1480749867_204x158.png,"Sector 26 Chandigarh, Chandigarh",banquet-halls,3.0,Rs. 1250 price per plat,A quiet and serene restaurant. Well lit up by beautiful lamps.. Atmosphere is quite classy.. Perfect for having a dinner away from daily hustle bustle. It's most distinguishing feature is the outdoor seating. They've got couches and bean bags spread around low floor tables in the middle of plants with small hanging lamps on them. Dinner outside on a starry winter night counts for a perfect date night,Banquet Hall,chandigarh,1250
A.K. Farm,https://cdn.venuelook.com/uploads/space_7502/1480943469_204x158.png,"Sector 121, Chandigarh",banquet-halls,3.0,Rs. 850 price per plat,"AK Farm marriage palace - we might wish to introduce our self in concert of the most effective Resorts in Tricity(Chandigarh, Panchkula & Mohali). AK Farm marriage palace we have a tendency to believe that matches area unit created in heaven, however brought along on earth, and that we do our greatest to create this moment a unforgettable one. such occasions return once in an exceedingly lifespan and each couple deserves nothing, however a dream wedding. that's what the complete team at AK Farm marriage palace provides with virtually dedication.",Banquet Hall,chandigarh,850
Hotel Classic,https://cdn.venuelook.com/uploads/space_6080/1469183121_204x158.png,"Sector 19 Chandigarh, Chandigarh",banquet-halls,3.0,Rs. 1000 price per plat,"Our spacious 8000 sq. ft. banquet is tastefully designed and gives a contemporary setting for Private cocktail dinners and for full day conference sessions.Â Parking for over 200 Vehicles, it offers an hassle free experience for your guests.Banquet Hall attached with 2 Acre Lawn is an ideal venue for your Marriages, Birthday Parties, Bachelors Parties, Cocktails Dinners, Reunions, Lohri Parties, Brand Promotions etc.",NONE,chandigarh,1000
The Fort Ramgarh,https://cdn.venuelook.com/uploads/space_6085/1469788711_204x158.png,"Sector 11 Panchkula, Chandigarh",banquet-halls,4.0,Rs. 2500 price per plat,"Typically Rajput audience durbar hall crowned by crystal chandeliers and family portraits is the best setting for your conferences, meetings, dinners and all kitty parties. It boasts of state-of-the-art communication features to stand surety for the success of each and every meeting held in durbar hall. To calm yourself whenever you need to, just step out into the BARADARI for a stunning view of the Shivalik Hills.",Durbar Hall,chandigarh,2500
Altius Hotel,https://cdn.venuelook.com/uploads/space_6100/1469193946_204x158.png,"Chandigarh Industrial Area, Chandigarh",banquet-halls,4.0,Rs. 875 price per plat,"The Altius a Boutique Hotel in Chandigarh is a new landmark in the landscape of the City Beautiful. Stylish and individualized, Marked by art, music, cuisine/ and all that's uplifting and edgy in-between is surely a discreet designer haven providing the finest home-away-from-home experience. Business is beautiful with fully adaptable conference space. Engage and energize your attendees and participants with creative conference packages in fashionable facilities. Parties, Management Make-overs, Brains torms, Banquets! Make them happen and make them dynamic in any of our four flexible conference areas of 20-150 people or endure an outdoor gala lawn of up to 800 people.",NONE,chandigarh,875
Hotel The Pearl,https://cdn.venuelook.com/uploads/space_6107/1469197639_204x158.png,"Chandigarh Industrial Area, Chandigarh",banquet-halls,3.0,Rs. 650 price per plat,"Multi Cuisine Restaurant serving sumptuous Indian, Chinese, Pakistani, Kashmiri and Continental Food. The Bar is stocked with choicest Liquor, Wine and Beer, showcasing various Mocktails accompanied by delectable snacks.",WHISTLER RESTAURANT,chandigarh,650
Hotel Shivalikview,https://cdn.venuelook.com/uploads/space_6151/1469440254_204x158.png,"Sector 17 Chandigarh, Chandigarh",banquet-halls,4.0,Rs. 1400 price per plat,"A multipurpose Banquet Hall located at the lobby level with the capacity of 100 pax and area measuring is 2250 sq. ft. is an ideal place to hold conference, wedding & Parties etcÂ",Aadab Arz,chandigarh,1400
Best Western Maryland,https://cdn.venuelook.com/uploads/space_6167/1469452089_204x158.png,"Zirakpur, Chandigarh",banquet-halls,4.0,Rs. 975 price per plat,Multi cuisine restaurant serving exotic dishes from India and the around the globe. The interior is specially designed with excellent finishes and top quality fixtures that are explicitedly designed to draw more attention of the people of the city. Service is always delivered with a smile.,THE Flavours,chandigarh,975
Hotel Shivalikview,https://cdn.venuelook.com/uploads/space_6253/1469698961_204x158.png,"Sector 17 Chandigarh, Chandigarh",banquet-halls,4.0,Rs. 1400 price per plat,Savour the best facilities and services of this modern hotel located in the heart of the city whether on business or a pleasure trip. The one of biggest hotel in the city is reputed for impeccable standards of service and luxury.The private room located at 6th Floor with area of 748 Sq. ft. is ideal for conferences and cozy get-together up to 40 persons.,The Party,chandigarh,1400
The Fort Ramgarh,https://cdn.venuelook.com/uploads/space_6303/1469792097_204x158.png,"Sector 11 Panchkula, Chandigarh",banquet-halls,4.0,Rs. 2500 price per plat,"Royal wedding is the most ideal way to respect the beginning of your married life.Â Make Your Special Moments An Unforgettable Experience With Us by booking a Banquet Halls in Chandigarh at The Fort Ramgarh. A Royal Wedding experience is one of its kind, a Dreamland of Kingâs & Queenâs, Maharajaâs & Maharaniâs with elegantly decorated well lit Palace, a Patiala backdrop giving the real Royal touch feeling to you and your guest for A Grand Celebration..!!!",Kitty Hall,chandigarh,2500
The Fort Ramgarh,https://cdn.venuelook.com/uploads/space_6306/1469793876_204x158.png,"Sector 11 Panchkula, Chandigarh",banquet-halls,4.0,Rs. 2500 price per plat,"Royal wedding is the most ideal way to respect the beginning of your married life.Â Make Your Special Moments An Unforgettable Experience With Us by booking a Banquet Halls in Chandigarh at The Fort Ramgarh. A Royal Wedding experience is one of its kind, a Dreamland of Kingâs & Queenâs, Maharajaâs & Maharaniâs with elegantly decorated well lit Palace, a Patiala backdrop giving the real Royal touch feeling to you and your guest for A Grand Celebration..!!!",Ramgarh Golf Range,chandigarh,2500
Hotel Pinnacle Grand,https://cdn.venuelook.com/uploads/space_26716/1713618111_204x158.png,"Sola, Ahmedabad",banquet-halls,4.8,Rs. 499 price per plat,"Near Palladium Ahmedabad Mall,
Located in the heart of Ahmedabad, Hotel Pinnacle Grand is a renowned hotel offering a blend of comfort, sophistication, and convenience. With spacious and stylish accommodations, the hotel ensures a relaxing stay for guests, providing modern amenities and tasteful decor in every room and suite. Hotel Pinnacle Grand stands out as a premier wedding venue, featuring versatile banquet halls perfect for hosting ceremonies, receptions, and other special events. The hotel's experienced event planners work closely with couples to tailor every detail to their preferences, ensuring a seamless and memorable celebration. Guests can indulge in a culinary journey at Hotel Pinnacle Grand restaurants, where expert chefs create delectable menus inspired by both Indian and international cuisines. From elaborate buffets to customized plated dinners, each dish is crafted with precision and care to satisfy every palate.",Imperial Banquet,ahmedabad,499
Hotel Pinnacle Grand,https://cdn.venuelook.com/uploads/space_26717/1713618882_204x158.png,"Sola, Ahmedabad",banquet-halls,4.8,Rs. 499 price per plat,"Near Palladium Ahmedabad Mall,
Located in the heart of Ahmedabad, Hotel Pinnacle Grand is a renowned hotel offering a blend of comfort, sophistication, and convenience. With spacious and stylish accommodations, the hotel ensures a relaxing stay for guests, providing modern amenities and tasteful decor in every room and suite. Hotel Pinnacle Grand stands out as a premier wedding venue, featuring versatile banquet halls perfect for hosting ceremonies, receptions, and other special events. The hotel's experienced event planners work closely with couples to tailor every detail to their preferences, ensuring a seamless and memorable celebration. Guests can indulge in a culinary journey at Hotel Pinnacle Grand restaurants, where expert chefs create delectable menus inspired by both Indian and international cuisines. From elaborate buffets to customized plated dinners, each dish is crafted with precision and care to satisfy every palate.",Hall Mark Banquet,ahmedabad,499
The Chocolate Room Diner,https://cdn.venuelook.com/uploads/space_34308/1673443572_204x158.png,"Prahlad Nagar, Ahmedabad",banquet-halls,4.6,Rs. 600 price per plat,"Near Iscon Mega Mall - Bodakdev Mall,
The Chocolate Room Diner, Prahlad Nagar, Ahmedabad is a great place to host an intimate gathering. The place is perfect to host birthday parties, anniversaries, get-togethers, and so on.The staff of The Chocolate Room Diner are well-trained and courteous and makes sure the host is completely relaxed during the time of the event and enjoying with the rest of the guests.",First Floor,ahmedabad,600
Malhaar Resort,https://cdn.venuelook.com/uploads/space_27208/1696314031_204x158.png,"Gandhinagar, Ahmedabad",banquet-halls,4.6,Rs. 600 price per plat,"Near Koteshwar Road Metro Station,
Malhaar ResortÂ - The best luxury Residential villas near Ahmedabad, Gujarat, is stuffed with best amenities that will give you some great memories for life. Landscapes, movies, delicacies, swimming pool, rain dance, pool, miles of green Earth and much more. Get every kind of luxurious facility that is required you regain the energy & refreshing your routine life at Malhaar Resort.Malhaar Resort has the most diverse and well-equipped club house with amazing games, Movie theatre and resting lounge just adds to the fun part of the place. Games like Table Tennis, Pool, Carom, etc make this place exciting for both Children as well elders and hence, gives the family unity and bonding. Experiences would speak better, so come and enjoy it yourself!The venue is all set to host all your wedding events with grandeur and style. When you look for a wedding venue there is a number of things that you have to keep in consideration. While the venue should be beautiful enough to host a stunning event at the same time it should be worth your money and be equipped with all the facilities and amenities.Â Malhaar ResortÂ can be on the top of your list of priority as it has everything that you are looking for.",Lawn,ahmedabad,600
Malhaar Resort,https://cdn.venuelook.com/uploads/space_27209/1692859776_204x158.png,"Gandhinagar, Ahmedabad",banquet-halls,4.6,Rs. 600 price per plat,"Near Koteshwar Road Metro Station,
Malhaar ResortÂ - The best luxury Residential villas near Ahmedabad, Gujarat, is stuffed with best amenities that will give you some great memories for life. Landscapes, movies, delicacies, swimming pool, rain dance, pool, miles of green Earth and much more. Get every kind of luxurious facility that is required you regain the energy & refreshing your routine life at Malhaar Resort.Malhaar ResortÂ has the most diverse and well-equipped club house with amazing games, Movie theatre and resting lounge just adds to the fun part of the place. Games like Table Tennis, Pool, Carom, etc make this place exciting for both Children as well elders and hence, gives the family unity and bonding. Experiences would speak better, so come and enjoy it yourself!The venue is all set to host all your wedding events with grandeur and style. When you look for a wedding venue there is a number of things that you have to keep in consideration. While the venue should be beautiful enough to host a stunning event at the same time it should be worth your money and be equipped with all the facilities and amenities.Â Malhaar ResortÂ can be on the top of your list of priority as it has everything that you are looking for.",Banquet Hall,ahmedabad,600
Hotel Silver Cloud,https://cdn.venuelook.com/uploads/space_8767/1494857677_204x158.png,"Gandhi Ashram Road, Ahmedabad",banquet-halls,4.0,Rs. 550 price per plat,"Two large approx. 5000 sqft ,15 feet
height, column less, elegantly decorated, well illuminated Banquet
halls with attached live kitchen. Live kitchen has state of art
technically well designed exhaust system to avoid any smoke into the
banquet hall.Banquet hall has Two inbuilt 4000 lumens Projector for
presentation along with live web casting facility. Our Event Management
Team and Expert Chefs shall ensure each event a life time memorable one.
Valet parking is a routine feature of the hotel. Hotel has
approx..20000 sqft parking space.",Silver Bandhan,ahmedabad,550
Hotel Kohinoor Plaza,https://cdn.venuelook.com/uploads/space_8794/1494938775_204x158.png,"Ashram Road, Ahmedabad",banquet-halls,3.0,Rs. 450 price per plat,"Hotel Kohinoor Plaza is situated in the heart of commercial hub of Ahmedabad. It has an advantage of Strategical location near ""Sabarmati River Front"" and ""Gandhi Ashram Hotel Kohinoor Plaza, Ahmedabad has 33 brilliantly designed well-appointed and exquisitely furnished rooms that offer best of life and luxury. Each room here features individual style and distinctive ambience with a thoughtful combination of unique facilities at your command to satisfy your needs. Whether business or leisure, the time spent here will be everlasting in your memories. Not just that, high speed Wi-Fi lets you stay connected with all those who matter. Whether business or leisure, we believe that your time spent here will be like a pearl in shell in your memory.",NONE,ahmedabad,450
Hotel Galaxy Inn,https://cdn.venuelook.com/uploads/space_8796/1494940533_204x158.png,"Airport Gandhinagar Highway, Ahmedabad",banquet-halls,3.0,Rs. 400 price per plat,"The Hotel Galaxy Inn is located just off the Gandhinagar Airport Road
and is situated opposite to Apollo Hospital. The hotel boasts of
impeccable rooms and service, TV sets in all rooms, ample parking space,
free WiFi connectivity, and Taxi-on-call service. Breakfast, lunch and
dinner can be served in rooms too, making a stay in Gandhinagar
hassle-free. Additionally, we have a pick-up/drop facility at the hotel
for business persons attending conferences and meetings in the city.
So book Immediately and enjoy attractive offers. Rooms starting from
only Rs. 1600/-. Free Wi-Fi available in all rooms. Flat 20% off on
bookings.",NONE,ahmedabad,400
